fecha,abrir,max,min,cerrar,cierre_ajustado,volumen,año,mes,dia,trimestre,promedio_mensual_cierre,promedio_anual_cierre,retorno,volatilidad_mensual,fecha_anterior,cerrar_anterior,cerrar_yoy,maximo_historico,minimo_historico,volumen_promedio_trimestral,dias_extremo
2025-06-10,0.6517,0.6534,0.6491,0.6519,0.6519,132.22,2025,6,10,Q2,0.6502714285714285,0.6323663636363637,,0.0034710340690232966,2024-06-10,0.6608,-0.013468523002421335,0.6519,0.6519,99.74051020408163,False
2025-06-09,0.6497,0.6535,0.6495,0.6526,0.6526,81.913,2025,6,9,Q2,0.6502714285714285,0.6323663636363637,0.0010737843227488497,0.0034710340690232966,2024-06-09,,,0.6526,0.6519,99.74051020408163,False
2025-06-06,0.6506,0.6518,0.6479,0.6498,0.6498,81.913,2025,6,6,Q2,0.6502714285714285,0.6323663636363637,-0.0042905301869443635,0.0034710340690232966,2024-06-06,0.6674,-0.026370991908900132,0.6526,0.6498,99.74051020408163,False
2025-06-05,0.6492,0.6539,0.6487,0.6512,0.6512,0.0,2025,6,5,Q2,0.6502714285714285,0.6323663636363637,0.0021545090797168154,0.0034710340690232966,2024-06-05,0.6654,-0.021340547039374796,0.6526,0.6498,99.74051020408163,False
2025-06-04,0.6464,0.6506,0.6452,0.65,0.65,73.056,2025,6,4,Q2,0.6502714285714285,0.6323663636363637,-0.0018427518427518441,0.0034710340690232966,2024-06-04,0.6654,-0.02314397354974447,0.6526,0.6498,99.74051020408163,False
2025-06-03,0.6494,0.6502,0.6449,0.647,0.647,64.745,2025,6,3,Q2,0.6502714285714285,0.6323663636363637,-0.004615384615384577,0.0034710340690232966,2024-06-03,0.6678,-0.03114705001497444,0.6526,0.647,99.74051020408163,False
2025-06-02,0.6433,0.6502,0.6433,0.6494,0.6494,92.724,2025,6,2,Q2,0.6502714285714285,0.6323663636363637,0.0037094281298299947,0.0034710340690232966,2024-06-02,,,0.6526,0.647,99.74051020408163,False
2025-05-30,0.6446,0.6453,0.6409,0.6443,0.6443,90.992,2025,5,30,Q2,0.6435285714285714,0.6323663636363637,-0.007853403141361293,0.007283345654755578,2024-05-30,0.6642,-0.02996085516410724,0.6526,0.6443,99.74051020408163,False
2025-05-29,0.6425,0.6461,0.6409,0.6452,0.6452,78.687,2025,5,29,Q2,0.6435285714285714,0.6323663636363637,0.0013968648145274987,0.007283345654755578,2024-05-29,0.662,-0.025377643504531776,0.6526,0.6443,99.74051020408163,False
2025-05-28,0.6445,0.6456,0.6411,0.6427,0.6427,84.713,2025,5,28,Q2,0.6435285714285714,0.6323663636363637,-0.0038747675139491067,0.007283345654755578,2024-05-28,0.6653,-0.0339696377574026,0.6526,0.6427,99.74051020408163,False
