fecha,abrir,max,min,cerrar,cierre_ajustado,volumen,año,mes,dia
2025-05-09,"0,6413","0,6413","0,6413","0,6413","0,6413",34,2025,5,9
2025-05-08,"0,6429","0,6449","0,6398","0,6398","0,6398",34,2025,5,8
2025-05-07,"0,6512","0,6513","0,6453","0,6453","0,6453",34,2025,5,7
2025-05-06,"0,6454","0,6498","0,6454","0,6498","0,6498",6,2025,5,6
2025-05-05,"0,6436","0,6488","0,6436","0,6468","0,6468",160,2025,5,5
2025-05-02,"0,6414","0,6471","0,6413","0,6444","0,6444",105,2025,5,2
2025-05-01,"0,6387","0,6387","0,6387","0,6387","0,6387",0,2025,5,1
2025-04-30,"0,6403","0,6414","0,6360","0,6405","0,6405",199,2025,4,30
2025-04-29,"0,6430","0,6430","0,6387","0,6387","0,6387",3,2025,4,29
2025-04-28,"0,6399","0,6427","0,6388","0,6427","0,6427",31,2025,4,28
2025-04-25,"0,6414","0,6416","0,6403","0,6403","0,6403",13,2025,4,25
2025-04-24,"0,6362","0,6405","0,6362","0,6405","0,6405",17,2025,4,24
2025-04-23,"0,6361","0,6432","0,6357","0,6366","0,6366",106,2025,4,23
2025-04-22,"0,6428","0,6428","0,6366","0,6377","0,6377",110,2025,4,22
2025-04-21,"0,6382","0,6431","0,6382","0,6415","0,6415",47,2025,4,21
2025-04-17,"0,6378","0,6393","0,6340","0,6393","0,6393",13,2025,4,17
2025-04-16,"0,6339","0,6388","0,6339","0,6370","0,6370",53,2025,4,16
2025-04-15,"0,6355","0,6376","0,6348","0,6348","0,6348",231,2025,4,15
2025-04-14,"0,6296","0,6310","0,6292","0,6302","0,6302",41,2025,4,14
2025-04-11,"0,6240","0,6283","0,6189","0,6283","0,6283",30,2025,4,11
2025-04-10,"0,6145","0,6240","0,6121","0,6233","0,6233",192,2025,4,10
2025-04-09,"0,5990","0,6157","0,5979","0,6143","0,6143",98,2025,4,9
2025-04-08,"0,6025","0,6070","0,5965","0,5965","0,5965",82,2025,4,8
2025-04-07,"0,6001","0,6112","0,5961","0,5974","0,5974",478,2025,4,7
2025-04-04,"0,6323","0,6327","0,5996","0,6019","0,6019",297,2025,4,4
2025-04-03,"0,6240","0,6384","0,6227","0,6338","0,6338",346,2025,4,3
2025-04-02,"0,6290","0,6323","0,6272","0,6294","0,6294",209,2025,4,2
2025-04-01,"0,6245","0,6278","0,6233","0,6265","0,6265",143,2025,4,1
2025-03-31,"0,6281","0,6294","0,6226","0,6250","0,6250",273,2025,3,31
2025-03-28,"0,6284","0,6300","0,6283","0,6287","0,6287",13,2025,3,28
2025-03-27,"0,6280","0,6319","0,6280","0,6301","0,6301",38,2025,3,27
2025-03-26,"0,6307","0,6325","0,6288","0,6288","0,6288",36,2025,3,26
2025-03-25,"0,6291","0,6326","0,6280","0,6299","0,6299",51,2025,3,25
2025-03-24,"0,6280","0,6303","0,6269","0,6284","0,6284",195,2025,3,24
2025-03-21,"0,6304","0,6304","0,6265","0,6277","0,6277",48,2025,3,21
2025-03-20,"0,6361","0,6361","0,6276","0,6302","0,6302",101,2025,3,20
2025-03-19,"0,6363","0,6367","0,6324","0,6359","0,6359",206,2025,3,19
2025-03-18,"0,6385","0,6392","0,6352","0,6362","0,6362",287,2025,3,18
2025-03-17,"0,6327","0,6360","0,6325","0,6360","0,6360",106,2025,3,17
2025-03-14,"0,6283","0,6331","0,6278","0,6324","0,6324",25.154,2025,3,14
2025-03-13,"0,6321","0,6334","0,6270","0,6287","0,6287",104.533,2025,3,13
2025-03-12,"0,6297","0,6324","0,6277","0,6316","0,6316",158.490,2025,3,12
2025-03-11,"0,6279","0,6312","0,6259","0,6307","0,6307",193.162,2025,3,11
2025-03-10,"0,6305","0,6331","0,6265","0,6270","0,6270",121.660,2025,3,10
2025-03-07,"0,6334","0,6338","0,6283","0,6309","0,6309",112.855,2025,3,7
2025-03-06,"0,6334","0,6364","0,6323","0,6337","0,6337",131.315,2025,3,6
2025-03-05,"0,6271","0,6344","0,6235","0,6340","0,6340",152.655,2025,3,5
2025-03-04,"0,6220","0,6274","0,6187","0,6247","0,6247",128.250,2025,3,4
2025-03-03,"0,6208","0,6255","0,6205","0,6223","0,6223",149.699,2025,3,3
2025-02-28,"0,6234","0,6239","0,6194","0,6198","0,6198",110.199,2025,2,28
2025-02-27,"0,6309","0,6315","0,6233","0,6244","0,6244",112.974,2025,2,27
2025-02-26,"0,6349","0,6355","0,6297","0,6309","0,6309",103.171,2025,2,26
2025-02-25,"0,6349","0,6357","0,6324","0,6343","0,6343",90.826,2025,2,25
2025-02-24,"0,6367","0,6393","0,6345","0,6357","0,6357",98.023,2025,2,24
2025-02-21,"0,6402","0,6410","0,6353","0,6355","0,6355",98.191,2025,2,21
2025-02-20,"0,6348","0,6406","0,6329","0,6404","0,6404",94.848,2025,2,20
2025-02-19,"0,6353","0,6372","0,6338","0,6349","0,6349",85.009,2025,2,19
2025-02-18,"0,6352","0,6375","0,6335","0,6350","0,6350",127.554,2025,2,18
2025-02-14,"0,6320","0,6362","0,6320","0,6360","0,6360",88.403,2025,2,14
2025-02-13,"0,6278","0,6302","0,6262","0,6302","0,6302",27,2025,2,13
2025-02-12,"0,6291","0,6291","0,6248","0,6287","0,6287",54,2025,2,12
2025-02-11,"0,6277","0,6298","0,6273","0,6294","0,6294",97,2025,2,11
2025-02-10,"0,6252","0,6284","0,6252","0,6280","0,6280",144,2025,2,10
