fecha,abrir,max,min,cerrar,cierre_ajustado,volumen,año,mes,dia
2025-05-06,0.6454,0.6498,0.6454,0.6498,0.6498,160,2025,5,6
2025-05-05,0.6436,0.6488,0.6436,0.6468,0.6468,160,2025,5,5
2025-05-02,0.6414,0.6471,0.6413,0.6444,0.6444,105,2025,5,2
2025-05-01,0.6387,0.6387,0.6387,0.6387,0.6387,0,2025,5,1
2025-03-31,0.6281,0.6294,0.6226,0.625,0.625,273,2025,3,31
2025-03-28,0.6284,0.63,0.6283,0.6287,0.6287,13,2025,3,28
2025-03-27,0.628,0.6319,0.628,0.6301,0.6301,38,2025,3,27
2025-03-26,0.6307,0.6325,0.6288,0.6288,0.6288,36,2025,3,26
2025-03-25,0.6291,0.6326,0.628,0.6299,0.6299,51,2025,3,25
2025-03-24,0.628,0.6303,0.6269,0.6284,0.6284,195,2025,3,24
2025-03-21,0.6304,0.6304,0.6265,0.6277,0.6277,48,2025,3,21
2025-03-20,0.6361,0.6361,0.6276,0.6302,0.6302,101,2025,3,20
2025-03-19,0.6363,0.6367,0.6324,0.6359,0.6359,206,2025,3,19
2025-03-18,0.6385,0.6392,0.6352,0.6362,0.6362,287,2025,3,18
2025-03-17,0.6327,0.636,0.6325,0.636,0.636,106,2025,3,17
2025-03-14,0.6283,0.6331,0.6278,0.6324,0.6324,25.154,2025,3,14
2025-03-13,0.6321,0.6334,0.627,0.6287,0.6287,104.533,2025,3,13
2025-03-12,0.6297,0.6324,0.6277,0.6316,0.6316,158.490,2025,3,12
2025-03-11,0.6279,0.6312,0.6259,0.6307,0.6307,193.162,2025,3,11
2025-03-10,0.6305,0.6331,0.6265,0.627,0.627,121.660,2025,3,10
2025-03-07,0.6334,0.6338,0.6283,0.6309,0.6309,112.855,2025,3,7
2025-03-06,0.6334,0.6364,0.6323,0.6337,0.6337,131.315,2025,3,6
2025-03-05,0.6271,0.6344,0.6235,0.634,0.634,152.655,2025,3,5
2025-03-04,0.622,0.6274,0.6187,0.6247,0.6247,128.250,2025,3,4
2025-03-03,0.6208,0.6255,0.6205,0.6223,0.6223,149.699,2025,3,3
2025-02-28,0.6234,0.6239,0.6194,0.6198,0.6198,110.199,2025,2,28
2025-02-27,0.6309,0.6315,0.6233,0.6244,0.6244,112.974,2025,2,27
2025-02-26,0.6349,0.6355,0.6297,0.6309,0.6309,103.171,2025,2,26
2025-02-25,0.6349,0.6357,0.6324,0.6343,0.6343,90.826,2025,2,25
2025-02-24,0.6367,0.6393,0.6345,0.6357,0.6357,98.023,2025,2,24
2025-02-21,0.6402,0.641,0.6353,0.6355,0.6355,98.191,2025,2,21
2025-02-20,0.6348,0.6406,0.6329,0.6404,0.6404,94.848,2025,2,20
2025-02-19,0.6353,0.6372,0.6338,0.6349,0.6349,85.009,2025,2,19
2025-02-18,0.6352,0.6375,0.6335,0.635,0.635,127.554,2025,2,18
2025-02-14,0.632,0.6362,0.632,0.636,0.636,88.403,2025,2,14
2025-02-13,0.6278,0.6302,0.6262,0.6302,0.6302,27,2025,2,13
2025-02-12,0.6291,0.6291,0.6248,0.6287,0.6287,54,2025,2,12
2025-02-11,0.6277,0.6298,0.6273,0.6294,0.6294,97,2025,2,11
2025-02-10,0.6252,0.6284,0.6252,0.628,0.628,144,2025,2,10
2025-02-07,0.6281,0.6298,0.6259,0.6273,0.6273,76,2025,2,7
2025-02-06,0.6283,0.6287,0.6263,0.6281,0.6281,134,2025,2,6
2025-02-05,0.6254,0.6296,0.6248,0.6285,0.6285,238,2025,2,5
2025-02-04,0.6222,0.6262,0.6181,0.6259,0.6259,111,2025,2,4
2025-02-03,0.6155,0.6233,0.609,0.6183,0.6183,554,2025,2,3
2024-11-29,0.6498,0.6529,0.6478,0.6522,0.6522,86.795,2024,11,29
2024-11-27,0.6477,0.6502,0.6457,0.6497,0.6497,77.452,2024,11,27
2024-11-26,0.6505,0.6508,0.6435,0.6461,0.6461,110.280,2024,11,26
2024-11-25,0.6534,0.6551,0.6489,0.6505,0.6505,84.764,2024,11,25
2024-11-22,0.6513,0.6522,0.6473,0.6499,0.6499,85.266,2024,11,22
2024-11-21,0.6508,0.6534,0.6499,0.6517,0.6517,71.814,2024,11,21
2024-11-20,0.6535,0.6546,0.6486,0.6498,0.6498,68.776,2024,11,20
2024-11-19,0.6508,0.6536,0.6485,0.6532,0.6532,90.720,2024,11,19
2024-11-18,0.646,0.6477,0.6459,0.6476,0.6476,72.722,2024,11,18
2024-11-15,0.645,0.648,0.6449,0.6456,0.6456,73,2024,11,15
